entry_name,item_no,item_code,item_name,timing_group,support_type,requirement_symbol,requirement_meaning,data_type,xml_data_type,act_mood_code,observation_class_code,observation_mood_code,xml_unit,code_table_oid,note
指導共通情報,1105,1020000005,保健指導後 服薬1（血圧）,legal_report,active,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1105,1020000005,保健指導後 服薬1（血圧）,legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1106,1020000006,保健指導後 服薬2（血糖）,legal_report,motivational,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1106,1020000006,保健指導後 服薬2（血糖）,legal_report,active,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1106,1020000006,保健指導後 服薬2（血糖）,legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1107,1020000007,保健指導後 服薬3（脂質）,legal_report,motivational,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1107,1020000007,保健指導後 服薬3（脂質）,legal_report,active,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
指導共通情報,1107,1020000007,保健指導後 服薬3（脂質）,legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.24030,"1:保健指導以後に服薬開始を確認。対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない"
初回面接実施情報,1301,1022000011,初回面接の実施日付,first_claim,motivational,○,必須入力項目,年月日,,EVN,,,,,YYYYMMDD
初回面接実施情報,1301,1022000011,初回面接の実施日付,first_claim,active,○,必須入力項目,年月日,,EVN,,,,,YYYYMMDD
