項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
業務歴,9N051000000000049,1.2.392.200119.6.1005,,,ST,,,診察,文字列,,,,,,,,変更なし,,2025-08-20
歩行又は身体活動,9N751000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N751000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
歩行速度,9N756000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N756000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
歯科医師による健康診断,9N531000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
歯科医師の意見,9N541000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
毎日の生活に満足していますか（後期）,9N933000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.19020,,後期質問票,コード,,,,,,,,変更なし,,2025-08-20
特定保健指導の受診歴,9N808000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N808000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
生活機能問診1,9N811000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診10,9N856000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診11,9N861000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診12,9N866000000000001,1.2.392.200119.6.1005,kg/m2,kg/m2,PQ,,,生活機能基本チェックリスト,数字,,,,,,,,変更なし,,2025-08-20
生活機能問診13,9N871000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診14,9N876000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診15,9N881000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診16,9N886000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診17,9N891000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診18,9N896000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診19,9N901000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診2,9N816000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診20,9N906000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診21,9N911000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診22,9N916000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診23,9N921000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診24,9N926000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診25,9N931000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診3,9N821000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診4,9N826000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診5,9N831000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診6,9N836000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診7,9N841000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診8,9N846000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2008,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能問診9,9N851000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2009,,生活機能基本チェックリスト,コード,,,,,,,,変更なし,,2025-08-20
生活機能評価の結果1,9N556000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2501,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
生活機能評価の結果2,9N561000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2502,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
生活機能評価の結果3,9N566000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
生活習慣の改善,9N801000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2007,,質問票,コード,,//cda:observation[ cda:code/@code='9N801000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
白血球数,2A010000001930101,1.2.392.200119.6.1005,/mm3,/mm3,PQ,,自動血球算定装置,血液像検査,数字,,,,,,,,変更なし,,2025-08-20
直腸肛門機能(1項目)(所見),9Z770160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
直腸肛門機能(1項目)(所見の有無),9Z770160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
直腸肛門機能(2項目以上)(所見),9Z771160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
直腸肛門機能(2項目以上)(所見の有無),9Z771160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼圧検査(右),9E105162100000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,,がん検診・生体検査等,数字,,,,,,,,変更なし,,2025-08-20
眼圧検査(左),9E105162200000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,,がん検診・生体検査等,数字,,,,,,,,変更なし,,2025-08-20
眼底検査(SCOTT分類),9E100166300000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2113,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼底検査(その他の所見),9E100160900000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
眼底検査(キースワグナー分類),9E100166000000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2110,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼底検査(シェイエ分類:H),9E100166100000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2111,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼底検査(シェイエ分類:S),9E100166200000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2112,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼底検査（Wong-Mitchell分類）,9E100166600000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.18080,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼底検査（実施理由）,9E100161000000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
眼底検査（対象者）,9E100161600000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18130,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
眼底検査（改変Davis分類）,9E100166500000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.18090,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
睡眠,9N796000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N796000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
空腹時中性脂肪(トリグリセリド),3F015000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(酵素比色法・グリセロール消去),生化学検査,数字,3F01510000,//cda:observation[ cda:code/@code='3F015000002327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,更新,"差分: 表示用単位,検査方法",2025-08-20
空腹時中性脂肪(トリグリセリド),3F015000002327201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：紫外吸光光度法(酵素比色法・グリセロール消去),生化学検査,数字,3F01520000,//cda:observation[ cda:code/@code='3F015000002327201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
空腹時中性脂肪(トリグリセリド),3F015000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：その他,生化学検査,数字,3F01530009,//cda:observation[ cda:code/@code='3F015000002399901' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
空腹時血糖,3D010000001926101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：電位差法(ブドウ糖酸化酵素電極法),血糖検査,数字,3D01010000,//cda:observation[ cda:code/@code='3D010000001926101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
空腹時血糖,3D010000001927201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：紫外吸光光度法(ヘキソキナーゼ法、グルコキナーゼ法、ブドウ糖脱水素酵素法),血糖検査,数字,3D01030000,//cda:observation[ cda:code/@code='3D010000001927201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,変更なし,,2025-08-20
空腹時血糖,3D010000001999901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,4：その他,血糖検査,数字,3D01040009,,,,,,,変更なし,,2025-08-20
空腹時血糖,3D010000002227101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：可視吸光光度法(ブドウ糖酸化酵素法),血糖検査,数字,3D01020000,,,,,,,変更なし,,2025-08-20
総コレステロール,3F050000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(コレステロール酸化酵素法),生化学検査,数字,3F05010000,//cda:observation[ cda:code/@code='3F050000002327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
総コレステロール,3F050000002327201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：紫外吸光光度法(コレステロール脱水素酵素法),生化学検査,数字,3F05020000,//cda:observation[ cda:code/@code='3F050000002327201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
総コレステロール,3F050000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：その他,生化学検査,数字,3F05030009,//cda:observation[ cda:code/@code='3F050000002399901' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
総ビリルビン,3J010000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(化学酸化法、酵素法、ジアゾ法),生化学検査,数字,3J01010000,,,,,,,変更なし,,2025-08-20
総ビリルビン,3J010000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：その他,生化学検査,数字,3J01020009,,,,,,,変更なし,,2025-08-20
総蛋白,3A010000002327101,1.2.392.200119.6.1005,g/dl,g/dL,PQ,,1：可視吸光光度法(ビウレット法),生化学検査,数字,3A01010000,,,,,,,変更なし,,2025-08-20
総蛋白,3A010000002399901,1.2.392.200119.6.1005,g/dl,g/dL,PQ,,2：その他,生化学検査,数字,3A01020009,,,,,,,変更なし,,2025-08-20
聴力(その他の所見),9D100160900000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
聴力(右:1000Hz),9D100163100000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,//cda:observation[ cda:code/@code='9D100163100000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
聴力(右:4000Hz),9D100163200000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,//cda:observation[ cda:code/@code='9D100163200000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
聴力(左:1000Hz),9D100163500000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,//cda:observation[ cda:code/@code='9D100163500000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
聴力(左:4000Hz),9D100163600000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,//cda:observation[ cda:code/@code='9D100163600000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
聴力（検査方法）,9D100164000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2301,,がん検診・生体検査等,コード,,//cda:observation[ cda:code/@code='9D100164000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
肥満度,9N026000000000002,1.2.392.200119.6.1005,%,%,PQ,,,身体計測,数字,,//cda:observation[ cda:code/@code='9N026000000000002' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
肺機能検査(%VC),9C380000000000002,1.2.392.200119.6.1005,%,%,PQ,,,がん検診・生体検査等,数字,,,,,,,,変更なし,,2025-08-20
肺機能検査(1秒率),9C330000000000002,1.2.392.200119.6.1005,%,%,PQ,,,がん検診・生体検査等,数字,,,,,,,,変更なし,,2025-08-20
肺機能検査(1秒量),9C320000000000001,1.2.392.200119.6.1005,ｌ,L,PQ,,,がん検診・生体検査等,数字,,,,,,,,変更なし,,2025-08-20
肺機能検査(努力肺活量),9C310000000000001,1.2.392.200119.6.1005,ｌ,L,PQ,,,がん検診・生体検査等,数字,,,,,,,,変更なし,,2025-08-20
胸部CT検査(がん),9N251000000000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2140,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
胸部CT検査(フィルム番号),9N251161200000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
胸部CT検査(所見),9N251160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
胸部CT検査(所見の有無),9N251160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
胸部CT検査(撮影年月日),9N251161100000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,年月日,,//cda:observation[ cda:code/@code='9N251161100000049' and cda:code/@codeSystem='1.2.392.200119.6.1005']/(cda:value/@value|cda:effectiveTime/@value|  cda:effectiveTime/cda:low/@value|cda:effectiveTime/cda:high/@value),@value,True,推奨,,,変更なし,,2025-08-20
胸部Ｘ線検査(がん:直接撮影),9N201000000000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2140,1：直接撮影,がん検診・生体検査等,コード,9N20110000,//cda:observation[ cda:code/@code='9N201000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
胸部Ｘ線検査(がん:間接撮影),9N216000000000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2140,2：間接撮影,がん検診・生体検査等,コード,9N21620000,,,,,,,変更なし,,2025-08-20
胸部Ｘ線検査(一般:直接撮影)(所見),9N206160800000049,1.2.392.200119.6.1005,,,ST,,1：直接撮影,がん検診・生体検査等,文字列,9N20610000,//cda:observation[ cda:code/@code='9N206160800000049' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,text(),False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
胸部Ｘ線検査(一般:直接撮影)(所見の有無),9N206160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,1：直接撮影,がん検診・生体検査等,コード,9N20610000,//cda:observation[ cda:code/@code='9N206160700000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
胸部Ｘ線検査(一般:間接撮影)(所見),9N221160800000049,1.2.392.200119.6.1005,,,ST,,2：間接撮影,がん検診・生体検査等,文字列,9N22120000,,,,,,,変更なし,,2025-08-20
胸部Ｘ線検査(一般:間接撮影)(所見の有無),9N221160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,2：間接撮影,がん検診・生体検査等,コード,9N22120000,,,,,,,変更なし,,2025-08-20
胸部Ｘ線検査(直接撮影)(フィルム番号),9N211161200000049,1.2.392.200119.6.1005,,,ST,,1：直接撮影,がん検診・生体検査等,文字列,9N21110000,,,,,,,変更なし,,2025-08-20
胸部Ｘ線検査(直接撮影)(撮影年月日),9N211161100000049,1.2.392.200119.6.1005,,,ST,,1：直接撮影,がん検診・生体検査等,年月日,9N21110000,//cda:observation[ cda:code/@code='9N211161100000049' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,text(),False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
胸部Ｘ線検査(間接撮影)(フィルム番号),9N226161200000049,1.2.392.200119.6.1005,,,ST,,2：間接撮影,がん検診・生体検査等,文字列,9N22620000,,,,,,,変更なし,,2025-08-20
胸部Ｘ線検査(間接撮影)(撮影年月日),9N226161100000049,1.2.392.200119.6.1005,,,ST,,2：間接撮影,がん検診・生体検査等,年月日,9N22620000,,,,,,,変更なし,,2025-08-20
腹囲(実測）,9N016160100000001,1.2.392.200119.6.1005,cm,cm,PQ,,1：実測,身体計測,数字,9N01610000,//cda:observation[ cda:code/@code='9N016160100000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,変更なし,,2025-08-20
腹囲(自己判定）,9N016160200000001,1.2.392.200119.6.1005,cm,cm,PQ,,2：自己測定,身体計測,数字,9N01620000,,,,,,,変更なし,,2025-08-20
腹囲(自己申告）,9N016160300000001,1.2.392.200119.6.1005,cm,cm,PQ,,3：自己申告,身体計測,数字,9N01630000,,,,,,,変更なし,,2025-08-20
腹部超音波(所見),9F130160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
腹部超音波(所見の有無),9F130160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
自覚症状,9N061000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2001,,診察,コード,,//cda:observation[ cda:code/@code='9N061000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
自覚症状(所見),9N061160800000049,1.2.392.200119.6.1005,,,ST,,,診察,文字列,,//cda:observation[ cda:code/@code='9N061160800000049' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,text(),False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
血小板数,2A050000001930101,1.2.392.200119.6.1005,万/mm3,10*4/mm3,PQ,,自動血球算定装置,血液像検査,数字,,,,,,,,変更なし,,2025-08-20
血液型(ABO),5H010000001910111,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2115,1：試験管法　カラム凝集法,その他医療保険者等が任意に行う検査,コード,5H01010000,,,,,,,変更なし,,2025-08-20
血液型(ABO),5H010000001999911,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2115,2：その他,その他医療保険者等が任意に行う検査,コード,5H01020009,,,,,,,変更なし,,2025-08-20
血液型(Rh),5H020000001910111,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2116,1：試験管法　カラム凝集法,その他医療保険者等が任意に行う検査,コード,5H02010000,,,,,,,変更なし,,2025-08-20
血液型(Rh),5H020000001999911,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2116,2：その他,その他医療保険者等が任意に行う検査,コード,5H02020009,,,,,,,変更なし,,2025-08-20
血清クレアチニン,3C015000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(酵素法),生化学検査,数字,3C01510000,//cda:observation[ cda:code/@code='3C015000002327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
血清クレアチニン,3C015000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：その他,生化学検査,数字,3C01520009,,,,,,,変更なし,,2025-08-20
血清クレアチニン（実施理由）,3C015161002399949,1.2.392.200119.6.1005,,,ST,,,生化学検査,文字列,,,,,,,,変更なし,,2025-08-20
血清クレアチニン（対象者）,3C015161602399911,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18110,,生化学検査,コード,,,,,,,,変更なし,,2025-08-20
血清フェリチン,5C095000002302301,1.2.392.200119.6.1005,ng/ml,ng/mL,PQ,,1：エンザイムイムノアッセイ(EIA),生化学検査,数字,5C09510000,,,,,,,変更なし,,2025-08-20
血清フェリチン,5C095000002399901,1.2.392.200119.6.1005,ng/ml,ng/mL,PQ,,2：その他,生化学検査,数字,5C09520009,,,,,,,変更なし,,2025-08-20
血清尿酸,3C020000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(ウリカーゼ・ペルオキシターゼ法),生化学検査,数字,3C02010000,//cda:observation[ cda:code/@code='3C020000002327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
血清尿酸,3C020000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：その他,生化学検査,数字,3C02020009,,,,,,,変更なし,,2025-08-20
血色素量(ヘモグロビン値),2A030000001930101,1.2.392.200119.6.1005,g/dl,g/dL,PQ,,自動血球算定装置,血液像検査,数字,,//cda:observation[ cda:code/@code='2A030000001930101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
視力(右),9E160162100000001,1.2.392.200119.6.1005,,,PQ,,,がん検診・生体検査等,数字,,//cda:observation[ cda:code/@code='9E160162100000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,,False,,,,更新,"差分: XMLデータ型,XPathテンプレ",2025-08-20
視力(右:矯正),9E160162500000001,1.2.392.200119.6.1005,,,PQ,,,がん検診・生体検査等,数字,,//cda:observation[ cda:code/@code='9E160162500000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
視力(左),9E160162200000001,1.2.392.200119.6.1005,,,PQ,,,がん検診・生体検査等,数字,,//cda:observation[ cda:code/@code='9E160162200000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,,False,,,,更新,"差分: XMLデータ型,XPathテンプレ",2025-08-20
視力(左:矯正),9E160162600000001,1.2.392.200119.6.1005,,,PQ,,,がん検診・生体検査等,数字,,//cda:observation[ cda:code/@code='9E160162600000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
視診(口腔内含む),9N076000000000049,1.2.392.200119.6.1005,,,ST,,,診察,文字列,,,,,,,,変更なし,,2025-08-20
触診(関節可動域含む),9N086000000000049,1.2.392.200119.6.1005,,,ST,,,診察,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N576000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N586000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N596000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N606000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N616000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N626000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N636000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
診断をした医師の氏名,9N646000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
