項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
保健指導レベル,9N506000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.3001,,医師の判断,コード,,//cda:observation[ cda:code/@code='9N506000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
保険者再確認　服薬1（血圧）,9N702167200000049,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.24020,,質問票,コード,,,,,,,,変更なし,,2025-08-20
保険者再確認　服薬2（血糖）,9N707167200000049,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.24020,,質問票,コード,,,,,,,,変更なし,,2025-08-20
保険者再確認　服薬3（脂質）,9N712167200000049,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.24020,,質問票,コード,,,,,,,,変更なし,,2025-08-20
健康診断を実施した医師の氏名,9N516000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
健康診断を実施した歯科医師の氏名,9N536000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
備考,9N551000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
具体的な既往歴,9N056160400000049,1.2.392.200119.6.1005,,,ST,,,診察,文字列,,//cda:observation[ cda:code/@code='9N056160400000049' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,text(),False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
内臓脂肪面積,9N021000000000001,1.2.392.200119.6.1005,cm2,cm2,PQ,,,身体計測,数字,,,,,,,,変更なし,,2025-08-20
初回面接実施,9N807000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18060,,初回面接,コード,,,,,,,,変更なし,,2025-08-20
医師の意見,9N521000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(その他),9N641000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(乳がん検診)(コード),9N601161300000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2141,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
医師の診断(乳がん検診)(自由記載),9N601161400000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(判定),9N511000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,//cda:observation[ cda:code/@code='9N511000000000049' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,text(),False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
医師の診断(判定)(生活機能評価),9N571000000000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(前立腺がん検診)(コード),9N631161300000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2141,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
医師の診断(前立腺がん検診)(自由記載),9N631161400000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(大腸がん検診)(コード),9N621161300000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2141,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
医師の診断(大腸がん検診)(自由記載),9N621161400000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(子宮がん検診)(コード),9N611161300000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2141,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
医師の診断(子宮がん検診)(自由記載),9N611161400000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(肺がん検診)(コード),9N581161300000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2141,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
医師の診断(肺がん検診)(自由記載),9N581161400000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
医師の診断(胃がん検診)(コード),9N591161300000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2141,,医師の判断,コード,,,,,,,,変更なし,,2025-08-20
医師の診断(胃がん検診)(自由記載),9N591161400000049,1.2.392.200119.6.1005,,,ST,,,医師の判断,文字列,,,,,,,,変更なし,,2025-08-20
半年前に比べて固いものが食べにくくなりましたか（後期）,9N935000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.19040,,後期質問票,コード,,,,,,,,変更なし,,2025-08-20
反復唾液嚥下テスト,9N091000000000001,1.2.392.200119.6.1005,回,{times},PQ,,,診察,数字,,,,,,,,変更なし,,2025-08-20
収縮期血圧(1回目),9A751000000000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,1：1回目,血圧等,数字,9A75100000,//cda:observation[ cda:code/@code='9A751000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: 表示用単位,検査方法",2025-08-20
収縮期血圧(2回目),9A752000000000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,2：2回目,血圧等,数字,9A75200000,//cda:observation[ cda:code/@code='9A752000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
