OID_code,OID_code_value,OID_code_value_name,OID_code_display_order,OID_code_value_remarks,OID_code_value_dev_remarks,Unnamed: 6
OID,value,内容,表示順位,備考,開発コメント,エクセル用（OID-value)
1.2.392.200119.6.3001,1,積極的支援,1,,,1.2.392.200119.6.3001-1
1.2.392.200119.6.3001,2,動機づけ支援,2,,,1.2.392.200119.6.3001-2
1.2.392.200119.6.3001,3,なし（情報提供）,3,,,1.2.392.200119.6.3001-3
1.2.392.200119.6.3001,4,判定不能,4,,,1.2.392.200119.6.3001-4
1.2.392.200119.6.3002,1,意志なし,1,,,1.2.392.200119.6.3002-1
1.2.392.200119.6.3002,2,意志あり（６か月以内）,2,,,1.2.392.200119.6.3002-2
1.2.392.200119.6.3002,3,意志あり（近いうち）,3,,,1.2.392.200119.6.3002-3
1.2.392.200119.6.3002,4,取組済み（６ヶ月未満）,4,,,1.2.392.200119.6.3002-4
1.2.392.200119.6.3002,5,取組済み（６ヶ月以上）,5,,,1.2.392.200119.6.3002-5
1.2.392.200119.6.24090,0,未達成,1,,,1.2.392.200119.6.24090-0
1.2.392.200119.6.24090,1,1cm・1kg,2,,,1.2.392.200119.6.24090-1
1.2.392.200119.6.24090,2,2cm・2kg,3,,,1.2.392.200119.6.24090-2
1.2.392.200119.6.24100,0,未達成,1,,,1.2.392.200119.6.24100-0
1.2.392.200119.6.24100,1,達成,2,,,1.2.392.200119.6.24100-1
1.2.392.200119.6.24100,9,目標なし,3,,,1.2.392.200119.6.24100-9
1.2.392.200119.6.24130,0,禁煙未達成,1,,,1.2.392.200119.6.24130-0
1.2.392.200119.6.24130,1,禁煙達成,2,,,1.2.392.200119.6.24130-1
1.2.392.200119.6.24130,8,非喫煙,3,,,1.2.392.200119.6.24130-8
1.2.392.200119.6.24130,9,禁煙目標なし,4,,,1.2.392.200119.6.24130-9
1.2.392.200119.6.24110,0,計画なし,1,,,1.2.392.200119.6.24110-0
1.2.392.200119.6.24110,1,1cm・1kg,2,,,1.2.392.200119.6.24110-1
1.2.392.200119.6.24110,2,2cm・2kg,3,,,1.2.392.200119.6.24110-2
1.2.392.200119.6.24120,0,計画なし,1,,,1.2.392.200119.6.24120-0
1.2.392.200119.6.24120,1,計画あり,2,,,1.2.392.200119.6.24120-1
1.2.392.200119.6.18150,1,初回面接（分割実施以外）,1,,,1.2.392.200119.6.18150-1
1.2.392.200119.6.18150,2,初回面接①,2,,,1.2.392.200119.6.18150-2
1.2.392.200119.6.18150,3,初回面接②,3,,,1.2.392.200119.6.18150-3
1.2.392.200119.6.18150,4,中間評価,4,,,1.2.392.200119.6.18150-4
1.2.392.200119.6.18150,5,継続的支援,5,,,1.2.392.200119.6.18150-5
1.2.392.200119.6.18150,6,実績評価,6,,,1.2.392.200119.6.18150-6
1.2.392.200119.6.18140,1,個別支援,1,,,1.2.392.200119.6.18140-1
1.2.392.200119.6.18140,2,グループ支援,2,,,1.2.392.200119.6.18140-2
1.2.392.200119.6.18140,3,電話,3,初回面接を分割して実施した場合における２回目（初回面接②）のみ入力可能,,1.2.392.200119.6.18140-3
1.2.392.200119.6.18140,4,電子メール,4,初回面接を分割して実施した場合における２回目（初回面接②）のみ入力可能,,1.2.392.200119.6.18140-4
1.2.392.200119.6.18140,5,遠隔面接,5,,,1.2.392.200119.6.18140-5
1.2.392.200119.6.3020,1,医師,1,,,1.2.392.200119.6.3020-1
1.2.392.200119.6.3020,2,保健師,2,,,1.2.392.200119.6.3020-2
1.2.392.200119.6.3020,3,管理栄養士,3,,,1.2.392.200119.6.3020-3
1.2.392.200119.6.3020,4,その他,4,,,1.2.392.200119.6.3020-4
1.2.392.200119.6.3005,1,1：個別支援,1,,4期では使用してないっぽい,1.2.392.200119.6.3005-1
1.2.392.200119.6.3005,2,2：グループ支援,2,,4期では使用してないっぽい,1.2.392.200119.6.3005-2
1.2.392.200119.6.3005,3,3：電話,3,,4期では使用してないっぽい,1.2.392.200119.6.3005-3
1.2.392.200119.6.3005,4,４：e-mail,4,,4期では使用してないっぽい,1.2.392.200119.6.3005-4
1.2.392.200119.6.3010,0,変化なし,1,,4期では使用してないっぽい,1.2.392.200119.6.3010-0
1.2.392.200119.6.3010,1,改善,2,,4期では使用してないっぽい,1.2.392.200119.6.3010-1
1.2.392.200119.6.3010,2,悪化,3,,4期では使用してないっぽい,1.2.392.200119.6.3010-2
1.2.392.200119.6.3011,1,禁煙継続,1,,,1.2.392.200119.6.3011-1
1.2.392.200119.6.3011,2,非継続,2,,,1.2.392.200119.6.3011-2
1.2.392.200119.6.3011,3,非喫煙,3,,,1.2.392.200119.6.3011-3
1.2.392.200119.6.3011,4,禁煙の意志なし,4,,,1.2.392.200119.6.3011-4
1.2.392.200119.6.1113,1,個別支援 A,1,,3期項目,1.2.392.200119.6.1113-1
1.2.392.200119.6.1113,2,個別支援 B,2,,3期項目,1.2.392.200119.6.1113-2
1.2.392.200119.6.1113,3,グループ支援,3,,3期項目,1.2.392.200119.6.1113-3
1.2.392.200119.6.1113,4,電話 A,4,,3期項目,1.2.392.200119.6.1113-4
1.2.392.200119.6.1113,5,電話 B,5,,3期項目,1.2.392.200119.6.1113-5
1.2.392.200119.6.1113,6,e-mail A,6,,3期項目,1.2.392.200119.6.1113-6
1.2.392.200119.6.1113,7,e-mail B,7,,3期項目,1.2.392.200119.6.1113-7
1.2.392.200119.6.19010,1,よい,1,,,1.2.392.200119.6.19010-1
1.2.392.200119.6.19010,2,まあよい,2,,,1.2.392.200119.6.19010-2
1.2.392.200119.6.19010,3,ふつう,3,,,1.2.392.200119.6.19010-3
1.2.392.200119.6.19010,4,あまりよくない,4,,,1.2.392.200119.6.19010-4
1.2.392.200119.6.19010,5,よくない,5,,,1.2.392.200119.6.19010-5
1.2.392.200119.6.19020,1,満足,1,,,1.2.392.200119.6.19020-1
1.2.392.200119.6.19020,2,やや満足,2,,,1.2.392.200119.6.19020-2
1.2.392.200119.6.19020,3,やや不満,3,,,1.2.392.200119.6.19020-3
1.2.392.200119.6.19020,4,不満,4,,,1.2.392.200119.6.19020-4
1.2.392.200119.6.19030,1,はい,1,,,1.2.392.200119.6.19030-1
1.2.392.200119.6.19030,2,いいえ,2,,,1.2.392.200119.6.19030-2
1.2.392.200119.6.19040,1,はい,1,,,1.2.392.200119.6.19040-1
1.2.392.200119.6.19040,2,いいえ,2,,,1.2.392.200119.6.19040-2
1.2.392.200119.6.19050,1,はい,1,,,1.2.392.200119.6.19050-1
1.2.392.200119.6.19050,2,いいえ,2,,,1.2.392.200119.6.19050-2
1.2.392.200119.6.19060,1,はい,1,,,1.2.392.200119.6.19060-1
1.2.392.200119.6.19060,2,いいえ,2,,,1.2.392.200119.6.19060-2
1.2.392.200119.6.19070,1,はい,1,,,1.2.392.200119.6.19070-1
1.2.392.200119.6.19070,2,いいえ,2,,,1.2.392.200119.6.19070-2
1.2.392.200119.6.19080,1,はい,1,,,1.2.392.200119.6.19080-1
1.2.392.200119.6.19080,2,いいえ,2,,,1.2.392.200119.6.19080-2
1.2.392.200119.6.19090,1,はい,1,,,1.2.392.200119.6.19090-1
1.2.392.200119.6.19090,2,いいえ,2,,,1.2.392.200119.6.19090-2
1.2.392.200119.6.19100,1,はい,1,,,1.2.392.200119.6.19100-1
1.2.392.200119.6.19100,2,いいえ,2,,,1.2.392.200119.6.19100-2
1.2.392.200119.6.19110,1,はい,1,,,1.2.392.200119.6.19110-1
1.2.392.200119.6.19110,2,いいえ,2,,,1.2.392.200119.6.19110-2
1.2.392.200119.6.19120,1,吸っている,1,,,1.2.392.200119.6.19120-1
1.2.392.200119.6.19120,2,吸っていない,2,,,1.2.392.200119.6.19120-2
1.2.392.200119.6.19120,3,やめた,3,,,1.2.392.200119.6.19120-3
1.2.392.200119.6.19130,1,はい,1,,,1.2.392.200119.6.19130-1
1.2.392.200119.6.19130,2,いいえ,2,,,1.2.392.200119.6.19130-2
1.2.392.200119.6.19140,1,はい,1,,,1.2.392.200119.6.19140-1
1.2.392.200119.6.19140,2,いいえ,2,,,1.2.392.200119.6.19140-2
1.2.392.200119.6.19150,1,はい,1,,,1.2.392.200119.6.19150-1
1.2.392.200119.6.19150,2,いいえ,2,,,1.2.392.200119.6.19150-2
1.2.392.200119.6.1008,1,基準該当,1,,,1.2.392.200119.6.1008-1
1.2.392.200119.6.1008,2,予備群該当,2,,,1.2.392.200119.6.1008-2
1.2.392.200119.6.1008,3,非該当,2,,,1.2.392.200119.6.1008-3
1.2.392.200119.6.1008,4,判定不能,2,,,1.2.392.200119.6.1008-4
