OID_code,OID_code_value,OID_code_value_name,OID_code_display_order,OID_code_value_remarks,OID_code_value_dev_remarks,Unnamed: 6
OID,value,内容,表示順位,備考,開発コメント,エクセル用（OID-value)
1.2.392.200119.6.1101,12,閲覧用,12,,,1.2.392.200119.6.1101-12
1.2.392.200119.6.1101,13,予備,13,,,1.2.392.200119.6.1101-13
1.2.392.200119.6.1103,1,特定健診情報,1,,,1.2.392.200119.6.1103-1
1.2.392.200119.6.1103,2,特定保健指導情報,2,,,1.2.392.200119.6.1103-2
1.2.392.200119.6.1103,3,国への実績報告,3,保険者での設定は不要,,1.2.392.200119.6.1103-3
1.2.392.200119.6.1103,4,他の健診結果の受領分,4,事業者健診の結果を受領した場合,,1.2.392.200119.6.1103-4
1.2.392.200119.6.1103,5,国への実績報告(匿名化前),5,,,1.2.392.200119.6.1103-5
1.2.392.200119.6.1106,1,受診者・利用者は負担なし,1,,,1.2.392.200119.6.1106-1
1.2.392.200119.6.1106,2,受診者・利用者は定額負担,2,,,1.2.392.200119.6.1106-2
1.2.392.200119.6.1106,3,受診者・利用者は定率負担,3,,,1.2.392.200119.6.1106-3
1.2.392.200119.6.1106,4,保険者の負担上限額,4,,,1.2.392.200119.6.1106-4
1.2.392.200119.6.1107,1,基本的な健診,1,,,1.2.392.200119.6.1107-1
1.2.392.200119.6.1107,2,基本的な健診＋詳細な健診,2,,,1.2.392.200119.6.1107-2
1.2.392.200119.6.1107,3,基本的な健診＋追加健診項目,3,,,1.2.392.200119.6.1107-3
1.2.392.200119.6.1107,4,基本的な健診＋詳細な健診＋追加健診項目,4,,,1.2.392.200119.6.1107-4
1.2.392.200119.6.1107,5,人間ドック,5,,,1.2.392.200119.6.1107-5
1.2.392.200119.6.1108,1,貧血検査,1,,,1.2.392.200119.6.1108-1
1.2.392.200119.6.1108,2,心電図検査,2,,,1.2.392.200119.6.1108-2
1.2.392.200119.6.1108,3,眼底検査,3,,,1.2.392.200119.6.1108-3
1.2.392.200119.6.1108,4,血清クレアチニン検査,4,,,1.2.392.200119.6.1108-4
1.2.392.200119.6.1109,01,データの記録形式不備,1,,,1.2.392.200119.6.1109-01
